organisation,records lost,year,month,story,sector,method,data sensitivity,1st source link
21stCentury Oncology,2200000,2015,October,"""Investigators say an ""unauthorized third party"" accessed about 2.2 million patient records in October 2015. The computer files included names, Social Security numbers, information about diagnoses and treatment, and insurance documents.""",health,hacked,4,https://www.news-press.com/story/news/2018/02/06/21st-century-oncology-patients-want-class-action-data-breach-lawsuit-continue/300509002/
500px,14800000,2019,February ,"A July 2018 hack exposed the personal information of all 500px users, including names, usernames, email addresses, encrypted passwords, location, birth date, and gender.",web,hacked,2,https://petapixel.com/2019/02/13/500px-hacked-personal-data-stolen-from-all-14-8-million-users/
8fit,20000000,2019,February ,"Part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",web,hacked,1,https://www.theregister.co.uk/2019/02/11/620_million_hacked_accounts_dark_web/
Aadhaar,550000000,2018,March,"India's biometric database was breached via a leak at a state-owned utility company. All registered Indian citizens were affected; their names, identity numbers and bank details were exposed. Data later found for sale on WhatsApp.",government,poor security,4,http://www.zdnet.com/article/another-data-leak-hits-india-aadhaar-biometric-database/
Accendo Insurance Co.,175350,2011,June,"Mismailed letters allowed some lines of sensitive information (medication name, date of birth, and member ID) to be visible through the envelope window.",health,poor security,2,http://www.databreaches.net/?p=19198
Acer,3000000,2021,October,"""For at least the second time in 2021, hackers have breached Acer's servers, this time plundering more than 60 gigabytes of data. Acer has confirmed that names, addresses, and phone numbers belonging to several million clients have been compromised in the breach, as well as sensitive corporate financial and audit details.""",tech,hacked,1,https://hothardware.com/news/acer-confirms-hacked-again-60gb-stolen-customer-data
Adobe,38000000,2013,October,"Hackers obtained access to a swathe of Adobe customer IDs, encrypted passwords & sensitive information including encrypted credit and debit card numbers. Plus source code.",tech,hacked,3,https://www.bbc.co.uk/news/technology-24740873
Adult Friend Finder,3900000,2015,May,"Data found on the dark web included sexual preferences, names, email addresses, usernames, dates of birth and postal codes. It included information of former as well as current users.",web,hacked,1,http://www.channel4.com/news/adult-friendfinder-dating-hack-internet-dark-web
Advocate Medical Group,4000000,2013,August,"Four unencrypted computers were stolen from an office belonging to the healthcare provider. 4,000,000 patient names, addresses, dates of birth and Social Security numbers were exposed.",health,lost device,2,http://healthitsecurity.com/2013/08/27/advocate-medical-group-endures-massive-data-breach/
AerServ,75000,2018,December,"""In April 2018, the ad management platform known as AerServ suffered a data breach. Acquired by InMobi earlier in the year, the AerServ breach impacted over 66k unique email addresses and also included contact information and passwords stored as salted SHA-512 hashes. The data was publicly posted to Twitter later in 2018 after which InMobi was notified and advised they were aware of the incident.""",media,hacked,2,https://breaches.sencode.co.uk/breaches/aerserv
